,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
206,0.371,0.0823,3,-20.45,1,0.0352,0.963,0.49,0.0838,0.0789,106.146,audio_features,08lUeu1CxXvAoaKkemoEk8,spotify:track:08lUeu1CxXvAoaKkemoEk8,https://api.spotify.com/v1/tracks/08lUeu1CxXvAoaKkemoEk8,https://api.spotify.com/v1/audio-analysis/08lUeu1CxXvAoaKkemoEk8,431267,4
207,0.463,0.263,9,-18.136,1,0.0288,0.878,0.264,0.0958,0.123,112.799,audio_features,76XN6m7RzGYwnzngUGD6Tt,spotify:track:76XN6m7RzGYwnzngUGD6Tt,https://api.spotify.com/v1/tracks/76XN6m7RzGYwnzngUGD6Tt,https://api.spotify.com/v1/audio-analysis/76XN6m7RzGYwnzngUGD6Tt,357423,4
208,0.519,0.0422,1,-10.778,1,0.0537,0.966,0.929,0.124,0.397,130.436,audio_features,6rK27cC9hX0e1Chrnxo9Vn,spotify:track:6rK27cC9hX0e1Chrnxo9Vn,https://api.spotify.com/v1/tracks/6rK27cC9hX0e1Chrnxo9Vn,https://api.spotify.com/v1/audio-analysis/6rK27cC9hX0e1Chrnxo9Vn,252947,3
209,0.467,0.459,0,-9.706,0,0.0305,0.719,0.00312,0.0944,0.178,124.379,audio_features,0T1EaGm6b9eM7xBf4F1hlc,spotify:track:0T1EaGm6b9eM7xBf4F1hlc,https://api.spotify.com/v1/tracks/0T1EaGm6b9eM7xBf4F1hlc,https://api.spotify.com/v1/audio-analysis/0T1EaGm6b9eM7xBf4F1hlc,477093,4
210,0.224,0.122,2,-16.766,1,0.036,0.985,0.0206,0.111,0.0952,82.277,audio_features,6YRVj7ZJyFrr6tso0QV15e,spotify:track:6YRVj7ZJyFrr6tso0QV15e,https://api.spotify.com/v1/tracks/6YRVj7ZJyFrr6tso0QV15e,https://api.spotify.com/v1/audio-analysis/6YRVj7ZJyFrr6tso0QV15e,235760,4
211,0.393,0.0331,3,-17.548,0,0.0417,0.973,0.000965,0.11,0.159,85.773,audio_features,7yCEzOAfijmD88IA1DHgSo,spotify:track:7yCEzOAfijmD88IA1DHgSo,https://api.spotify.com/v1/tracks/7yCEzOAfijmD88IA1DHgSo,https://api.spotify.com/v1/audio-analysis/7yCEzOAfijmD88IA1DHgSo,180200,3
212,0.428,0.0768,0,-17.412,0,0.0413,0.774,0.0487,0.123,0.112,107.712,audio_features,013grywiX7Qu6WVfnJ1opa,spotify:track:013grywiX7Qu6WVfnJ1opa,https://api.spotify.com/v1/tracks/013grywiX7Qu6WVfnJ1opa,https://api.spotify.com/v1/audio-analysis/013grywiX7Qu6WVfnJ1opa,308933,4
213,0.446,0.191,10,-15.854,1,0.0385,0.925,0.574,0.3,0.291,137.046,audio_features,1iCAi2GzGYqCEm1t3Zpx8O,spotify:track:1iCAi2GzGYqCEm1t3Zpx8O,https://api.spotify.com/v1/tracks/1iCAi2GzGYqCEm1t3Zpx8O,https://api.spotify.com/v1/audio-analysis/1iCAi2GzGYqCEm1t3Zpx8O,527579,4
214,0.612,0.526,0,-8.558,0,0.0272,0.727,0.0331,0.183,0.594,129.341,audio_features,38xcUjiTP1ivfb7ObwjyGA,spotify:track:38xcUjiTP1ivfb7ObwjyGA,https://api.spotify.com/v1/tracks/38xcUjiTP1ivfb7ObwjyGA,https://api.spotify.com/v1/audio-analysis/38xcUjiTP1ivfb7ObwjyGA,429267,4
215,0.618,0.0772,9,-21.306,0,0.0514,0.975,0.919,0.107,0.36,104.691,audio_features,1CRxANVlNyN2IYjarx96gU,spotify:track:1CRxANVlNyN2IYjarx96gU,https://api.spotify.com/v1/tracks/1CRxANVlNyN2IYjarx96gU,https://api.spotify.com/v1/audio-analysis/1CRxANVlNyN2IYjarx96gU,273800,4
