,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,uri,duration_ms,time_signature,label
99,0.356,0.894,9,-6.825,0,0.0796,2.67e-05,0.00806,0.0602,0.237,153.098,5F4PRUrsZQ8zTppxd6OA9a,spotify:track:5F4PRUrsZQ8zTppxd6OA9a,303547,4,metal
100,0.709,0.793,11,-7.66,0,0.0437,0.00843,0.0624,0.178,0.616,105.864,1qBTLEa3lAZ6ieAxc9sEk3,spotify:track:1qBTLEa3lAZ6ieAxc9sEk3,247829,4,metal
101,0.208,0.787,9,-6.763,0,0.0728,0.00131,0.0171,0.0626,0.472,170.626,0un0EK8Qvd3eNYh7BJz2OF,spotify:track:0un0EK8Qvd3eNYh7BJz2OF,337880,4,metal
102,0.339,0.991,2,-5.028,1,0.145,0.000249,0.00327,0.261,0.185,106.767,0c6p9QomOhNU9uzujLjtsD,spotify:track:0c6p9QomOhNU9uzujLjtsD,300093,4,metal
103,0.381,0.638,7,-12.201,1,0.0515,0.00281,0.305,0.142,0.143,116.306,3ZGajFLn8uAIpNxMxBwfGY,spotify:track:3ZGajFLn8uAIpNxMxBwfGY,324360,4,metal
104,0.297,0.798,4,-9.999,1,0.0782,0.000113,0.0772,0.132,0.544,137.397,2H4Uh7c159cJBmrbekZFFe,spotify:track:2H4Uh7c159cJBmrbekZFFe,237107,4,metal
105,0.262,0.988,11,-4.922,0,0.253,0.00655,0.897,0.132,0.227,91.319,5ZOOjqoCaUydmo8bxSdosj,spotify:track:5ZOOjqoCaUydmo8bxSdosj,290280,4,metal
106,0.442,0.759,10,-13.475,1,0.0354,0.000402,0.0081,0.174,0.279,198.117,3D5ORNm9spaTcdRx50ksHx,spotify:track:3D5ORNm9spaTcdRx50ksHx,205560,4,metal
107,0.526,0.9,4,-4.76,0,0.0531,0.00914,0.0,0.277,0.458,125.349,2W7CvGjipq3EmHqNGN7lN9,spotify:track:2W7CvGjipq3EmHqNGN7lN9,231693,4,metal
108,0.49,0.86,7,-5.284,0,0.0573,0.132,0.0,0.215,0.795,132.673,2dHjSNCw10clC9oOld8tPn,spotify:track:2dHjSNCw10clC9oOld8tPn,241893,4,metal
109,0.245,0.933,4,-8.148,0,0.0863,3.43e-05,0.182,0.0437,0.456,178.555,2ksadH0rmJCMAQ8r3Najnt,spotify:track:2ksadH0rmJCMAQ8r3Najnt,209000,4,metal
