,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,uri,duration_ms,time_signature,label,popularity,artist_followers
51,0.611,0.455,7,-10.254,1,0.042,0.411,0.000161,0.12,0.826,123.691,77fsTNViSLqcwuSMQhSwB0,spotify:track:77fsTNViSLqcwuSMQhSwB0,118000,4,jazz,41,408959
52,0.569,0.423,0,-8.453,1,0.0861,0.838,0.0,0.144,0.514,93.956,0UuRIovHyU6KeTzY4gS0L2,spotify:track:0UuRIovHyU6KeTzY4gS0L2,170547,4,jazz,54,742742
53,0.466,0.0456,8,-20.84,1,0.0416,0.877,0.0,0.129,0.366,130.752,1NV8LlaC1InXaDQOcMBQTg,spotify:track:1NV8LlaC1InXaDQOcMBQTg,241613,4,jazz,48,2197647
55,0.154,0.328,0,-10.936,0,0.0315,0.876,0.149,0.114,0.108,75.753,1EXfuimx2HlQT7MjHP0jha,spotify:track:1EXfuimx2HlQT7MjHP0jha,236173,4,jazz,38,1867623
56,0.4,0.291,0,-11.997,1,0.0438,0.61,0.0,0.16,0.458,130.502,5Vtq6dHdwbjHqifCeSL4d3,spotify:track:5Vtq6dHdwbjHqifCeSL4d3,104773,4,jazz,41,455962
57,0.626,0.304,7,-13.439,0,0.0309,0.891,0.000147,0.146,0.496,111.918,0EiGzshQIaM98eOXdKTGaD,spotify:track:0EiGzshQIaM98eOXdKTGaD,142613,4,jazz,49,2498803
58,0.682,0.417,6,-9.682,1,0.0464,0.701,2.16e-05,0.365,0.53,97.631,7K0B3d8hgj9cAhku48eGwN,spotify:track:7K0B3d8hgj9cAhku48eGwN,229613,4,jazz,40,10611
60,0.457,0.0651,0,-19.429,0,0.0314,0.661,0.0,0.169,0.367,103.812,7lZagRCKskAjzZ40Kdx4bB,spotify:track:7lZagRCKskAjzZ40Kdx4bB,142520,4,jazz,44,2197647
61,0.752,0.287,1,-10.675,1,0.283,0.563,0.0,0.0642,0.681,139.15,499GXjmRXzKrZLmiWrhvuY,spotify:track:499GXjmRXzKrZLmiWrhvuY,150053,4,jazz,43,373967
62,0.451,0.219,8,-7.462,1,0.0321,0.912,0.0,0.251,0.29,80.144,35fAfaeEMDKYWOnZGDr6NG,spotify:track:35fAfaeEMDKYWOnZGDr6NG,163474,4,jazz,37,165640
63,0.269,0.258,3,-14.4,1,0.0424,0.849,0.000145,0.162,0.472,176.53,3Dwj9k9GC0Tm8nDvE9U5Pg,spotify:track:3Dwj9k9GC0Tm8nDvE9U5Pg,161173,5,jazz,47,408959
64,0.292,0.487,5,-8.239,1,0.0285,0.615,0.0,0.178,0.531,93.309,4yRPGDmtIWZjhIPcEvPxsF,spotify:track:4yRPGDmtIWZjhIPcEvPxsF,157867,4,jazz,0,5694330
65,0.64,0.297,5,-9.299,1,0.0473,0.813,0.0,0.249,0.513,115.998,08RnPHoZRQr6BuD92JRvkk,spotify:track:08RnPHoZRQr6BuD92JRvkk,172933,4,jazz,47,114222
66,0.285,0.142,3,-14.634,1,0.0356,0.849,0.00246,0.443,0.374,82.002,6pX2pj2rgiMky1DoIJTCoj,spotify:track:6pX2pj2rgiMky1DoIJTCoj,187040,4,jazz,38,374902
67,0.306,0.174,6,-11.554,1,0.0347,0.694,0.0,0.605,0.218,78.143,6gEIFDwEixJQy6DbxToS77,spotify:track:6gEIFDwEixJQy6DbxToS77,189867,4,jazz,36,63081
