,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,uri,duration_ms,time_signature,label
233,0.356,0.0937,8,-16.64,0,0.0353,0.957,0.096,0.209,0.278,86.669,3PJMsxg6rz9FOo6xNiASXz,spotify:track:3PJMsxg6rz9FOo6xNiASXz,342373,3,jazz
234,0.456,0.222,0,-16.879,1,0.0354,0.938,0.806,0.24,0.15,112.725,4qRJ7ZJyfzchEd2fjle7Bz,spotify:track:4qRJ7ZJyfzchEd2fjle7Bz,392000,4,jazz
235,0.313,0.0437,6,-22.627,1,0.0315,0.989,0.148,0.209,0.0625,100.827,1CTex49P0iWwzUGsMNjgaV,spotify:track:1CTex49P0iWwzUGsMNjgaV,192867,1,jazz
236,0.412,0.195,8,-10.288,1,0.0331,0.9,0.709,0.106,0.0778,133.918,1czzmAtPTw287TyMQEfCfg,spotify:track:1czzmAtPTw287TyMQEfCfg,372493,4,jazz
237,0.598,0.187,10,-15.57,0,0.0484,0.643,0.0439,0.0797,0.399,93.216,2kHsFZZipGAI168yh21B0p,spotify:track:2kHsFZZipGAI168yh21B0p,425582,4,jazz
238,0.184,0.543,11,-13.583,0,0.0391,0.016,0.0,0.105,0.211,98.4,2gG3ivmsfylVXLyIJvLXyN,spotify:track:2gG3ivmsfylVXLyIJvLXyN,396067,3,jazz
239,0.34,0.0837,3,-12.072,1,0.042,0.985,0.761,0.0945,0.119,138.689,0IffIW3eyCx9aZ36IqOu5o,spotify:track:0IffIW3eyCx9aZ36IqOu5o,414240,3,jazz
240,0.387,0.117,0,-17.803,1,0.0299,0.925,0.000171,0.109,0.166,93.575,66iKqUazBbTlAEjcZrpDkD,spotify:track:66iKqUazBbTlAEjcZrpDkD,151867,4,jazz
241,0.581,0.163,0,-16.612,0,0.0547,0.926,0.861,0.116,0.448,88.101,3hY3MPL9hAITPgVfiVlL5K,spotify:track:3hY3MPL9hAITPgVfiVlL5K,347773,4,jazz
242,0.497,0.086,7,-13.579,1,0.0443,0.974,0.00106,0.124,0.171,129.332,6cRsRBzSaGwfnMMqNSjtFY,spotify:track:6cRsRBzSaGwfnMMqNSjtFY,228360,4,jazz
243,0.438,0.106,0,-14.939,1,0.0353,0.947,0.000103,0.147,0.0508,118.785,5m3XMzewNg9EADweC7j7Nn,spotify:track:5m3XMzewNg9EADweC7j7Nn,291173,4,jazz
244,0.653,0.368,10,-11.567,0,0.0439,0.875,0.00305,0.0972,0.249,117.161,4w7EnqiLksvE6rcuR8F8bn,spotify:track:4w7EnqiLksvE6rcuR8F8bn,524093,4,jazz
245,0.439,0.082,0,-17.066,1,0.0407,0.972,0.893,0.0913,0.492,124.69,08rTZ8jNknn8VBS3v2o8pT,spotify:track:08rTZ8jNknn8VBS3v2o8pT,195160,4,jazz
246,0.621,0.0335,2,-21.479,0,0.0395,0.555,0.93,0.218,0.126,104.036,3QxZooLdeJBAf0x405DDI7,spotify:track:3QxZooLdeJBAf0x405DDI7,243333,4,jazz
247,0.546,0.322,0,-19.111,1,0.037,0.662,0.0299,0.76,0.488,96.07,5vze3yFdib2nLOqpmzl5wO,spotify:track:5vze3yFdib2nLOqpmzl5wO,407587,4,jazz
248,0.47,0.684,4,-7.873,0,0.0377,0.714,1.92e-05,0.0797,0.483,128.506,2PGjqrXgOBqP8G4R6EKmpR,spotify:track:2PGjqrXgOBqP8G4R6EKmpR,399467,4,jazz
249,0.446,0.0879,4,-15.059,0,0.0392,0.936,0.0,0.104,0.154,119.511,4LSplRZj1Xk5JUCARpUV8j,spotify:track:4LSplRZj1Xk5JUCARpUV8j,203000,4,jazz
0,0.641,0.0366,0,-26.04,1,0.0428,0.872,0.155,0.107,0.196,102.778,0ZK55vvr1yrm6HXMoUhugy,spotify:track:0ZK55vvr1yrm6HXMoUhugy,340333,4,jazz
1,0.61,0.414,7,-9.503,0,0.0518,0.674,0.00862,0.141,0.509,121.968,58auzrd6rwCLuWleG4bCAy,spotify:track:58auzrd6rwCLuWleG4bCAy,546000,4,jazz
4,0.562,0.447,8,-9.363,1,0.0636,0.633,0.125,0.0884,0.471,68.957,7iOTBeLm5qR9N23fjQy8Kl,spotify:track:7iOTBeLm5qR9N23fjQy8Kl,297040,4,jazz
5,0.523,0.33,0,-10.549,0,0.0435,0.92,0.0103,0.0808,0.707,159.949,35hrtW3WmLUVn32cOjFa6f,spotify:track:35hrtW3WmLUVn32cOjFa6f,192186,4,jazz
